Task ID,Task Description,Deadline,Priority,Assigned User,User Workload,Category,deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,category_encoded,status_encoded,priority_encoded,Cleaned_Description,priority_rank,New Assigned User
T0022,Clean up old logs from server,2025-05-26,Low,User_6,3,DevOps,-56.0,6,0,0,1,0,1,clean old log server,2,User_5
T0100,Update internal documentation,2025-05-26,Low,User_4,6,Design,-56.0,3,0,0,0,0,1,updat intern document,2,User_7
T0058,Organize shared team files,2025-05-27,Low,User_1,4,DevOps,-55.0,4,0,0,1,1,1,organ share team file,2,User_2
T0002,Organize shared team files,2025-05-27,Low,User_8,7,DevOps,-55.0,4,0,0,1,0,1,organ share team file,2,User_10
T0092,Send status update to manager,2025-05-27,Low,User_8,7,Design,-55.0,5,0,0,0,0,1,send statu updat manag,2,User_4
T0016,Organize shared team files,2025-05-28,Low,User_3,2,Documentation,-54.0,4,0,0,3,2,1,organ share team file,2,User_9
T0038,Organize shared team files,2025-05-28,Low,User_2,3,Design,-54.0,4,0,0,0,0,1,organ share team file,2,User_3
T0030,Send status update to manager,2025-05-28,Low,User_1,7,Management,-54.0,5,0,0,4,1,1,send statu updat manag,2,User_6
T0084,Clean up old logs from server,2025-05-28,Low,User_10,1,Design,-54.0,6,0,0,0,1,1,clean old log server,2,User_10
T0008,Send status update to manager,2025-05-29,Low,User_8,8,DevOps,-53.0,5,0,0,1,0,1,send statu updat manag,2,User_1
T0091,Clean up old logs from server,2025-05-29,Low,User_1,6,Documentation,-53.0,6,0,0,3,0,1,clean old log server,2,User_5
T0007,Update internal documentation,2025-05-29,Low,User_4,8,Design,-53.0,3,0,0,0,0,1,updat intern document,2,User_4
T0067,Schedule weekly team sync,2025-05-29,Low,User_7,5,Management,-53.0,4,0,0,4,0,1,schedul weekli team sync,2,User_3
T0032,Send status update to manager,2025-05-29,Low,User_6,7,Design,-53.0,5,0,0,0,0,1,send statu updat manag,2,User_2
T0052,Update internal documentation,2025-05-29,Low,User_1,10,Management,-53.0,3,0,0,4,1,1,updat intern document,2,User_9
T0027,Clean up old logs from server,2025-05-29,Low,User_5,7,Design,-53.0,6,0,0,0,0,1,clean old log server,2,User_7
T0062,Schedule weekly team sync,2025-05-29,Low,User_2,6,Development,-53.0,4,0,0,2,1,1,schedul weekli team sync,2,User_8
T0071,Send status update to manager,2025-05-29,Low,User_8,7,Development,-53.0,5,0,0,2,0,1,send statu updat manag,2,User_6
T0041,Send status update to manager,2025-05-29,Low,User_5,6,DevOps,-53.0,5,0,0,1,1,1,send statu updat manag,2,User_5
T0082,Send status update to manager,2025-05-29,Low,User_10,6,DevOps,-53.0,5,0,0,1,2,1,send statu updat manag,2,User_6
T0079,Schedule weekly team sync,2025-05-30,Low,User_5,4,Testing,-52.0,4,0,0,5,2,1,schedul weekli team sync,2,User_7
T0043,Update internal documentation,2025-05-30,Low,User_5,7,Testing,-52.0,3,0,0,5,0,1,updat intern document,2,User_10
T0017,Clean up old logs from server,2025-05-30,Low,User_5,8,Design,-52.0,6,0,0,0,1,1,clean old log server,2,User_8
T0037,Organize shared team files,2025-05-30,Low,User_6,8,Development,-52.0,4,0,0,2,0,1,organ share team file,2,User_3
T0089,Schedule weekly team sync,2025-05-30,Low,User_6,5,Documentation,-52.0,4,0,0,3,2,1,schedul weekli team sync,2,User_2
T0076,Organize shared team files,2025-05-31,Low,User_2,9,Development,-51.0,4,0,1,2,0,1,organ share team file,2,User_9
T0026,Schedule weekly team sync,2025-05-31,Low,User_8,2,Design,-51.0,4,0,1,0,1,1,schedul weekli team sync,2,User_1
T0070,Update internal documentation,2025-05-31,Low,User_6,6,Management,-51.0,3,0,1,4,1,1,updat intern document,2,User_4
T0097,Clean up old logs from server,2025-05-31,Low,User_1,3,Management,-51.0,6,0,1,4,0,1,clean old log server,2,User_6
T0090,Schedule weekly team sync,2025-05-31,Low,User_5,4,Testing,-51.0,4,0,1,5,2,1,schedul weekli team sync,2,User_9
T0012,Organize shared team files,2025-05-31,Low,User_8,2,Design,-51.0,4,0,1,0,0,1,organ share team file,2,User_4
T0059,Update internal documentation,2025-05-31,Low,User_2,1,DevOps,-51.0,3,0,1,1,0,1,updat intern document,2,User_2
T0018,Organize shared team files,2025-06-01,Low,User_10,10,Management,-50.0,4,0,1,4,0,1,organ share team file,2,User_1
T0031,Schedule weekly team sync,2025-06-01,Low,User_3,6,Development,-50.0,4,0,1,2,0,1,schedul weekli team sync,2,User_10
T0061,Schedule weekly team sync,2025-06-02,Low,User_6,7,Management,-49.0,4,0,0,4,1,1,schedul weekli team sync,2,User_3
T0075,Schedule weekly team sync,2025-06-02,Low,User_3,2,Management,-49.0,4,0,0,4,2,1,schedul weekli team sync,2,User_5
T0028,Update internal documentation,2025-06-02,Low,User_6,5,Development,-49.0,3,0,0,2,2,1,updat intern document,2,User_8
T0005,Send status update to manager,2025-06-02,Low,User_4,7,Management,-49.0,5,0,0,4,0,1,send statu updat manag,2,User_7
T0065,Clean up old logs from server,2025-06-02,Low,User_10,2,Design,-49.0,6,0,0,0,1,1,clean old log server,2,User_2
T0024,Schedule weekly team sync,2025-06-02,Low,User_6,2,Testing,-49.0,4,0,0,5,0,1,schedul weekli team sync,2,User_7
T0055,Organize shared team files,2025-06-02,Low,User_3,3,DevOps,-49.0,4,0,0,1,2,1,organ share team file,2,User_10
T0034,Update internal documentation,2025-06-03,Low,User_7,5,Development,-48.0,3,0,0,2,0,1,updat intern document,2,User_4
T0087,Organize shared team files,2025-06-03,Low,User_1,8,Development,-48.0,4,0,0,2,1,1,organ share team file,2,User_9
T0029,Send status update to manager,2025-06-03,Low,User_4,4,DevOps,-48.0,5,0,0,1,1,1,send statu updat manag,2,User_1
T0045,Schedule weekly team sync,2025-06-03,Low,User_9,9,Testing,-48.0,4,0,0,5,0,1,schedul weekli team sync,2,User_3
T0004,Send status update to manager,2025-06-03,Low,User_8,5,Testing,-48.0,5,0,0,5,1,1,send statu updat manag,2,User_8
T0072,Send status update to manager,2025-06-03,Low,User_1,2,Management,-48.0,5,0,0,4,0,1,send statu updat manag,2,User_6
T0077,Clean up old logs from server,2025-06-04,Low,User_9,6,Design,-47.0,6,0,0,0,2,1,clean old log server,2,User_5
T0011,Schedule weekly team sync,2025-06-04,Low,User_4,6,Design,-47.0,4,0,0,0,2,1,schedul weekli team sync,2,User_9
T0069,Update internal documentation,2025-06-04,Low,User_6,10,Documentation,-47.0,3,0,0,3,2,1,updat intern document,2,User_5
T0003,Clean up old logs from server,2025-06-04,Low,User_6,8,Documentation,-47.0,6,0,0,3,2,1,clean old log server,2,User_6
T0033,Update internal documentation,2025-06-04,Low,User_8,4,Documentation,-47.0,3,0,0,3,0,1,updat intern document,2,User_4
T0063,Clean up old logs from server,2025-06-04,Low,User_9,7,Management,-47.0,6,0,0,4,1,1,clean old log server,2,User_2
T0040,Clean up old logs from server,2025-06-04,Low,User_10,7,Development,-47.0,6,0,0,2,0,1,clean old log server,2,User_8
T0015,Send status update to manager,2025-06-04,Low,User_1,6,Development,-47.0,5,0,0,2,1,1,send statu updat manag,2,User_3
T0048,Send status update to manager,2025-06-04,Low,User_3,8,DevOps,-47.0,5,0,0,1,2,1,send statu updat manag,2,User_1
T0078,Organize shared team files,2025-06-05,Low,User_9,3,Management,-46.0,4,0,0,4,2,1,organ share team file,2,User_10
T0013,Send status update to manager,2025-06-05,Low,User_3,1,Management,-46.0,5,0,0,4,0,1,send statu updat manag,2,User_7
T0036,Send status update to manager,2025-06-05,Low,User_6,3,Development,-46.0,5,0,0,2,0,1,send statu updat manag,2,User_3
T0095,Update internal documentation,2025-06-05,Low,User_6,2,Development,-46.0,3,0,0,2,1,1,updat intern document,2,User_9
T0035,Organize shared team files,2025-06-05,Low,User_2,3,Documentation,-46.0,4,0,0,3,2,1,organ share team file,2,User_1
T0051,Schedule weekly team sync,2025-06-05,Low,User_1,4,Testing,-46.0,4,0,0,5,1,1,schedul weekli team sync,2,User_4
T0021,Organize shared team files,2025-06-05,Low,User_7,3,Development,-46.0,4,0,0,2,0,1,organ share team file,2,User_7
T0083,Clean up old logs from server,2025-06-06,Low,User_8,4,Design,-45.0,6,0,0,0,2,1,clean old log server,2,User_5
T0020,Update internal documentation,2025-06-06,Low,User_3,7,Development,-45.0,3,0,0,2,2,1,updat intern document,2,User_2
T0080,Update internal documentation,2025-06-06,Low,User_7,8,Management,-45.0,3,0,0,4,2,1,updat intern document,2,User_6
T0099,Clean up old logs from server,2025-06-06,Low,User_10,4,DevOps,-45.0,6,0,0,1,1,1,clean old log server,2,User_8
T0050,Send status update to manager,2025-06-06,Low,User_6,9,Testing,-45.0,5,0,0,5,1,1,send statu updat manag,2,User_10
T0053,Send status update to manager,2025-06-06,Low,User_2,8,Testing,-45.0,5,0,0,5,2,1,send statu updat manag,2,User_10
T0049,Clean up old logs from server,2025-06-06,Low,User_1,10,DevOps,-45.0,6,0,0,1,1,1,clean old log server,2,User_1
T0088,Update internal documentation,2025-06-06,Low,User_4,5,Design,-45.0,3,0,0,0,1,1,updat intern document,2,User_9
T0010,Update internal documentation,2025-06-07,Low,User_5,9,Documentation,-44.0,3,0,1,3,0,1,updat intern document,2,User_5
T0047,Send status update to manager,2025-06-07,Low,User_1,1,Design,-44.0,5,0,1,0,2,1,send statu updat manag,2,User_3
T0064,Clean up old logs from server,2025-06-07,Low,User_7,5,Development,-44.0,6,0,1,2,0,1,clean old log server,2,User_4
T0098,Update internal documentation,2025-06-07,Low,User_8,1,Documentation,-44.0,3,0,1,3,1,1,updat intern document,2,User_7
T0057,Organize shared team files,2025-06-07,Low,User_8,3,Testing,-44.0,4,0,1,5,1,1,organ share team file,2,User_6
T0085,Organize shared team files,2025-06-07,Low,User_5,8,DevOps,-44.0,4,0,1,1,2,1,organ share team file,2,User_8
T0068,Schedule weekly team sync,2025-06-07,Low,User_4,6,Design,-44.0,4,0,1,0,0,1,schedul weekli team sync,2,User_2
T0019,Schedule weekly team sync,2025-06-07,Low,User_4,4,DevOps,-44.0,4,0,1,1,0,1,schedul weekli team sync,2,User_3
T0056,Clean up old logs from server,2025-06-07,Low,User_1,3,DevOps,-44.0,6,0,1,1,2,1,clean old log server,2,User_4
T0039,Send status update to manager,2025-06-07,Low,User_10,6,Development,-44.0,5,0,1,2,1,1,send statu updat manag,2,User_2
T0066,Update internal documentation,2025-06-07,Low,User_10,3,Documentation,-44.0,3,0,1,3,1,1,updat intern document,2,User_7
T0086,Send status update to manager,2025-06-07,Low,User_5,10,DevOps,-44.0,5,0,1,1,2,1,send statu updat manag,2,User_1
T0001,Update internal documentation,2025-06-07,Low,User_4,4,Management,-44.0,3,0,1,4,1,1,updat intern document,2,User_9
T0044,Clean up old logs from server,2025-06-07,Low,User_5,7,Testing,-44.0,6,0,1,5,1,1,clean old log server,2,User_6
T0081,Clean up old logs from server,2025-06-07,Low,User_1,1,Design,-44.0,6,0,1,0,1,1,clean old log server,2,User_8
T0006,Send status update to manager,2025-06-08,Low,User_1,10,Documentation,-43.0,5,0,1,3,1,1,send statu updat manag,2,User_5
T0025,Update internal documentation,2025-06-08,Low,User_10,2,Management,-43.0,3,0,1,4,0,1,updat intern document,2,User_10
T0074,Clean up old logs from server,2025-06-08,Low,User_8,4,Documentation,-43.0,6,0,1,3,0,1,clean old log server,2,User_3
T0093,Schedule weekly team sync,2025-06-08,Low,User_6,1,Design,-43.0,4,0,1,0,2,1,schedul weekli team sync,2,User_7
T0073,Organize shared team files,2025-06-08,Low,User_5,10,Development,-43.0,4,0,1,2,2,1,organ share team file,2,User_1
T0096,Clean up old logs from server,2025-06-08,Low,User_4,1,Testing,-43.0,6,0,1,5,1,1,clean old log server,2,User_8
T0014,Update internal documentation,2025-06-08,Low,User_7,7,Documentation,-43.0,3,0,1,3,1,1,updat intern document,2,User_4
T0046,Clean up old logs from server,2025-06-09,Low,User_8,1,Design,-42.0,6,0,0,0,2,1,clean old log server,2,User_9
T0094,Clean up old logs from server,2025-06-09,Low,User_3,5,Testing,-42.0,6,0,0,5,1,1,clean old log server,2,User_6
T0060,Send status update to manager,2025-06-09,Low,User_8,10,Development,-42.0,5,0,0,2,1,1,send statu updat manag,2,User_5
T0023,Send status update to manager,2025-06-09,Low,User_4,10,Testing,-42.0,5,0,0,5,2,1,send statu updat manag,2,User_2
T0054,Clean up old logs from server,2025-06-09,Low,User_6,4,Testing,-42.0,6,0,0,5,2,1,clean old log server,2,User_10
